,Human_ABCD1_1,Human_ABCD1_2,Human_ABCD1_3,Human_NT_1,Human_NT_2,Human_NT_3
DDX11L1,0.0,1.217,0.92,0.0,1.988,0.867
WASH7P,25.774,38.939,18.398,40.293,56.661,28.625
MIR6859-1,9.205,8.518,7.359,11.664,2.982,6.939
RP11-34P13.7,0.0,0.0,0.0,0.0,0.994,0.0
RP11-34P13.15,1.841,0.0,0.0,0.0,0.0,0.867
RP11-34P13.16,1.841,0.0,0.0,3.181,3.976,2.602
RP11-34P13.14,0.0,0.0,0.0,1.06,0.0,0.0
RP11-34P13.13,0.0,0.0,2.76,5.302,1.988,0.867
ABC7-43046700E7.1,0.0,2.434,1.84,7.422,4.97,3.47
RP11-34P13.18,67.197,83.961,89.231,114.516,134.197,56.383
MIR6859-2,0.0,0.0,0.0,0.0,0.994,0.867
AP006222.1,6.444,9.735,4.6,14.845,5.964,17.349
RPL23AP24,5.523,4.867,4.6,5.302,6.958,3.47
RP4-669L17.4,7.364,1.217,0.92,4.241,2.982,5.205
OR4F29,0.0,1.217,0.0,1.06,0.0,0.0
RF00026,8.285,9.735,6.439,11.664,13.917,7.807
RP11-206L10.17,2.762,1.217,0.0,0.0,0.994,2.602
RP5-857K21.9,1.841,7.301,1.84,0.0,8.946,4.337
RP5-857K21.8,211.715,285.955,269.533,287.35,348.913,348.707
RP5-857K21.6,275.23,324.893,283.331,253.42,277.341,274.108
RP5-857K21.7,6.444,1.217,11.039,6.362,12.923,12.144
RP5-857K21.14,0.0,0.0,0.92,1.06,0.0,0.0
RP5-857K21.10,1458.993,1764.402,1665.95,1301.029,1572.592,1546.628
RP5-857K21.11,15.649,23.12,20.238,9.543,20.875,6.939
OR4F16,0.0,1.217,0.0,1.06,0.0,0.0
RP11-206L10.15,5.523,0.0,0.0,2.121,0.0,3.47
RP11-206L10.2,50.628,37.722,26.677,26.508,46.72,64.19
RNU6-1199P,0.0,1.217,1.84,0.0,0.994,0.0
RP11-206L10.4,0.0,0.0,0.92,0.0,0.0,0.0
RP11-206L10.9,34.979,66.926,56.114,31.81,29.822,38.167
RP11-206L10.8,10.126,15.819,2.76,10.603,1.988,3.47
FAM87B,14.728,2.434,8.279,10.603,8.946,10.409
RP11-206L10.11,254.058,251.884,207.899,119.818,126.245,146.596
NCRNA00115,20.251,18.252,11.959,20.146,21.869,13.879
FAM41C,0.0,0.0,0.0,0.0,0.994,0.0
RP11-54O7.1,0.0,2.434,0.0,0.0,3.976,2.602
RP11-54O7.3,0.0,0.0,1.84,0.0,0.0,0.0
SAMD11,3.682,0.0,0.0,0.0,0.0,2.602
NOC2L,970.207,1005.101,985.22,1198.176,1117.315,1104.238
KLHL17,83.766,113.165,76.352,170.714,124.257,148.331
PLEKHN1,1.841,4.867,8.279,13.784,22.863,9.542
PERM1,3.682,2.434,0.0,6.362,0.994,1.735
RP11-54O7.17,0.0,1.217,0.0,6.362,2.982,5.205
HES4,14.728,13.385,20.238,90.128,107.358,52.046
ISG15,6657.98,6247.2,6365.752,10063.622,9498.175,9355.233
RP11-54O7.11,1.841,0.0,0.0,4.241,5.964,3.47
AGRN,629.622,783.638,757.083,1254.374,1173.976,1137.201
RP11-465B22.3,4.603,2.434,3.68,12.724,15.905,16.481
RP11-54O7.18,0.0,0.0,0.0,0.0,0.994,0.867
C1orf159,105.858,79.094,85.551,161.171,130.221,117.103
RP11-465B22.8,0.0,0.0,0.0,0.0,1.988,1.735
TNFRSF4,4.603,4.867,3.68,2.121,1.988,0.0
SDF4,2194.473,2364.299,2477.308,2147.175,2062.66,2083.567
B3GALT6,266.945,267.702,236.416,95.43,86.483,78.936
C1QTNF12,2.762,2.434,5.519,8.483,7.952,3.47
RP5-902P8.12,9.205,3.65,1.84,0.0,9.941,5.205
UBE2J2,480.501,492.816,510.548,743.294,700.807,629.754
RP5-902P8.10,0.921,10.951,9.199,6.362,3.976,4.337
SCNN1D,40.502,26.77,41.396,21.207,52.685,32.095
ACAP3,388.451,362.615,384.521,463.366,422.472,456.268
PUSL1,92.971,135.068,98.43,156.929,111.334,104.092
INTS11,1103.68,1080.544,1170.121,1103.807,1074.571,866.563
RP5-890O3.9,20.251,23.12,21.158,24.388,16.899,24.288
CPTP,207.113,221.463,264.933,400.806,412.532,358.249
