GeneID,Base mean,log2(FC),StdErr,Wald-Stats,P-value,P-adj,q,logFC
CTSF,530.623968869519,7.625388694413591,0.30538343342271,24.9698833003117,1.298958071922389e-137,3.4586057623005383e-133,132.46,7.63
AC006039.4,69.05685672404721,2.39523176033577,0.18893810846059805,12.677335344633699,7.897113633370891e-37,1.05134273801067e-32,31.98,2.4
PRSS12,5631.132312713101,2.15507919643819,0.17174655491904595,12.5480199440041,4.0757450566154905e-36,3.6173595959148e-32,31.44,2.16
SOX7,612.479651365339,2.39025172367603,0.203622142588466,11.738663061349301,8.0752880955154e-32,5.37531552077983e-28,27.27,2.39
SLC1A6,345.25628491658995,2.10844317822276,0.18173703239812694,11.601615534272804,4.043716922766721e-31,2.1533601357117394e-27,26.67,2.11
NUDT11,808.4083964473358,-1.14007980854654,0.100631359952164,-11.3292696142484,9.398517853618247e-30,4.1707489395073294e-26,25.38,-1.14
LGALS13,24.1676214229025,3.8088155271466295,0.337430606003215,11.287700224532497,1.50934278284236e-29,5.74110870513723e-26,25.24,3.81
ARNT2,582.9624251069699,-1.53254939519264,0.13758251845115,-11.1391288111708,8.09068943393992e-29,2.69278371085105e-25,24.57,-1.53
NPY1R,221.181705598493,-1.82957725628878,0.16457981764628798,-11.1166562367986,1.04100787703703e-28,3.07976397044311e-25,24.51,-1.83
FAM171A1,4384.3767151491,-0.495057216303291,0.0448588594116428,-11.035885058076198,2.5651341777392093e-28,6.829926261648421e-25,24.17,-0.5
SPINK5,261.623935713838,2.64650432584573,0.241235228386678,10.9706378440036,5.289790419679661e-28,1.28041781558537e-24,23.89,2.65
STS,3943.19421580345,2.17162908175298,0.198452197613787,10.9428321170786,7.191758843980499e-28,1.5957314248318702e-24,23.8,2.17
RP11-564D11.3,14.0766456893205,4.01312247614808,0.367980715010999,10.9057956366766,1.08143030210991e-27,2.21493563261372e-24,23.65,4.01
DPP4,174.54471887561797,3.1018777785994303,0.29076841978895696,10.667863383688001,1.4389716688322795e-26,2.55427064362189e-23,22.59,3.1
RNF182,1535.8352733962,-1.23102031043438,0.115392441592136,-10.668119102510301,1.4350176756403698e-26,2.55427064362189e-23,22.59,-1.23
WBSCR17,211.510828692248,-1.40808531871265,0.13400286340592998,-10.5078748537424,7.94639902730087e-26,1.32238012813071e-22,21.88,-1.41
SP140L,260.80350124474,2.3496127921739904,0.226671557359285,10.3657151322684,3.55092282194989e-25,5.561580650425748e-22,21.25,2.35
RP11-114H21.2,15.457132222312698,3.81946740291622,0.376846796724124,10.1353320132168,3.8506322739721396e-24,5.6959408292656796e-21,20.24,3.82
MYC,385.1455814764991,1.93714278839133,0.191737711484238,10.103087042167902,5.353005043699708e-24,7.22947036344229e-21,20.14,1.94
NOS2,208.26929346876202,2.67789370994223,0.265093897859358,10.1016799389435,5.43038410834695e-24,7.22947036344229e-21,20.14,2.68
ATP6V1C2,215.174393539608,1.87489881034852,0.187848051768585,9.980932954568312,1.84721650520786e-23,2.34209460322212e-20,19.63,1.87
SLC6A15,1099.19321255343,-1.32383154387402,0.132713465783016,-9.97511093590504,1.9588243190193398e-23,2.37071165082768e-20,19.63,-1.32
LYPD3,413.573124338293,2.39699091186018,0.240697947307152,9.958501676798287,2.315255861073989e-23,2.68026098073722e-20,19.57,2.4
RP11-319F12.2,78.8042063951752,-2.76993370321821,0.278314861888259,-9.95251810997542,2.4588140391337292e-23,2.7278492752489395e-20,19.56,-2.77
GALNT14,130.671929415371,-1.81969434277862,0.184312799197702,-9.87285934942987,5.458597551779e-23,5.8136247365467e-20,19.24,-1.82
PLPPR5,31.558117054103302,-3.14596207900864,0.321954076335254,-9.77146217503616,1.49281835459041e-22,1.5287608272817096e-19,18.82,-3.15
ABCD1,528.680628708657,-1.58083907787782,0.163318183931242,-9.67950438723565,3.6849798736609997e-22,3.6339360783739896e-19,18.44,-1.58
XAGE2,920.332354052241,2.25233370386697,0.232870157974911,9.672058126527439,3.96326192879036e-22,3.76877900414186e-19,18.42,2.25
GDAP1L1,27.087948349894198,-3.41264758787208,0.3542156554134461,-9.6343781979054,5.72374739243887e-22,5.25518958865784e-19,18.28,-3.41
NUPR1,61.9060660213697,2.84160806404887,0.29564422351801,9.611579858504381,7.14442421222725e-22,6.340914635825429e-19,18.2,2.84
A4GALT,78.159547654158,2.79957363542,0.291947438380837,9.589307071665528,8.86785568986777e-22,7.61662985801352e-19,18.12,2.8
RAB3C,86.8332303134693,-1.71204635961704,0.178977393150318,-9.56571290642917,1.11430821505074e-21,9.2717407918566e-19,18.03,-1.71
DUSP5,912.195256982271,1.87424373427935,0.1961739220722,9.55399022704741,1.24794926784159e-21,1.00690597592576e-18,18.0,1.87
LGALS16,236.151518859403,2.772754234266709,0.293238966386273,9.45561317595927,3.21134198573336e-21,2.5148585797687198e-18,17.6,2.77
CYP11A1,1297.8912764104598,2.6402098928973503,0.280141184435775,9.424568894484132,4.31876007928291e-21,3.2854658820281893e-18,17.48,2.64
ADAM22,599.296964994694,-1.01872721405787,0.108693690899013,-9.37245948345213,7.086169000800859e-21,5.24100932820344e-18,17.28,-1.02
SLC22A11,66.3811719814795,3.04853773081005,0.326262532472098,9.34381802198128,9.292150503108747e-21,6.68683241339929e-18,17.17,3.05
TMEM246,257.944313257641,-1.6010961911625,0.17151973374951904,-9.3347637392015,1.01216735621357e-20,7.09209684909015e-18,17.15,-1.6
RP11-706O15.5,226.04079539474895,3.52458350859471,0.380486094806914,9.26337008553055,1.98079392323979e-20,1.35232356410725e-17,16.87,3.52
RP11-706O15.3,166.249348598468,3.20204974329058,0.34589557106573104,9.25727303597677,2.09719817362501e-20,1.3959999642734898e-17,16.86,3.2
RP11-266L9.2,2300.47219857251,2.20819981296988,0.23865044982403,9.25286256362852,2.1855936612857998e-20,1.41935650793648e-17,16.85,2.21
RHOBTB1,2470.7452499455303,1.26438377424945,0.137217466145854,9.21445213764179,3.128719236285029e-20,1.9834590091744104e-17,16.7,1.26
PGF,2724.44813828236,2.26877591355264,0.246511332711033,9.203535953505847,3.463604300468029e-20,2.14469600242469e-17,16.67,2.27
DOK6,195.838697286399,-1.63799281356487,0.17945979793065198,-9.12735237893127,7.01949367158784e-20,4.2477508749931296e-17,16.37,-1.64
NRXN1,140.650192566579,-1.7262301830236202,0.19018310600940694,-9.076674680758641,1.1194258262456096e-19,6.623518233247931e-17,16.18,-1.73
NAP1L6,102.645886044091,2.54615743967634,0.281708546885766,9.03826833734235,1.5917323885731699e-19,9.21336229959768e-17,16.04,2.55
IGFBP3,38545.2234623018,1.79741078040503,0.200149800286268,8.98032762378105,2.6996168550565195e-19,1.52936166771776e-16,15.82,1.8
FUT9,276.355889171635,-1.42957556138329,0.15980240466751902,-8.94589517822108,3.68947106399284e-19,2.0465803447890296e-16,15.69,-1.43
RP11-314M24.1,1053.80264503437,1.9877461435240504,0.222407941782807,8.93738833060732,3.984760576997449e-19,2.1652701045537598e-16,15.66,1.99
TSPAN33,588.156512324042,-0.8194722030704309,0.0918214741139391,-8.92462477844309,4.47212618002306e-19,2.38149663338588e-16,15.62,-0.82
BEX1,388.5571654026909,-1.94356957294542,0.217835619452827,-8.92218443350724,4.571800636464909e-19,2.38683850483362e-16,15.62,-1.94
SLC7A3,916.1419756337648,-1.7766287453133005,0.19953459851637695,-8.90386308200823,5.39359742271135e-19,2.76172932648293e-16,15.56,-1.78
NMI,431.117213847576,1.04283194807755,0.117653538750159,8.8635833580156,7.74829162712099e-19,3.84659393647807e-16,15.41,1.04
XRRA1,338.168016924388,-1.22203305683987,0.13791485410564094,-8.860779100007608,7.945717212735448e-19,3.84659393647807e-16,15.41,-1.22
ACSS1,21.2908921592728,2.50972094004358,0.283205251608207,8.86184463667924,7.87012270308677e-19,3.84659393647807e-16,15.41,2.51
CTD-2124B20.3,1080.92407931689,-0.983899740973944,0.11160174842845,-8.81616780049586,1.18443932194525e-18,5.631585961806109e-16,15.25,-0.98
TACSTD2,7358.796431140691,2.70939130639794,0.308099466547801,8.79388509417489,1.44475330553319e-18,6.748772195285389e-16,15.17,2.71
RGS5,13022.9884295996,-2.11534266051157,0.241606160430614,-8.755334122033139,2.0349971942925797e-18,9.34204056814382e-16,15.03,-2.12
TREM1,53.7353276737507,3.1479299988272595,0.359652166617798,8.75270689575064,2.08295172006284e-18,9.40011398277849e-16,15.03,3.15
P2RY6,417.9296745934809,1.80158988510243,0.20599996779604,8.74558333371287,2.21866410357365e-18,9.845691736958653e-16,15.01,1.8
RP11-426L16.8,223.489373145173,2.1740972996162298,0.249601737441632,8.71026508829746,3.0316497451768094e-18,1.3232902641816e-15,14.88,2.17
SRRM4,120.03751389762199,-1.21651199027653,0.1399949146708,-8.68968700139702,3.63439397905499e-18,1.56079635623094e-15,14.81,-1.22
PGC,37.6573520922203,2.9030930627996403,0.33707937153660306,8.61249102715975,7.14898946503727e-18,3.02141259517591e-15,14.52,2.9
DDR2,183.274539738998,-1.99369858514882,0.231817662871228,-8.6002876590827,7.9516540347003e-18,3.3081365676239103e-15,14.48,-1.99
VASH2,498.62753904068495,-0.7256805065499731,0.0846246188518047,-8.575288330938191,9.883887025615519e-18,4.04874424529291e-15,14.39,-0.73
GPR161,2466.24886937372,-0.541899698383667,0.0633449686274063,-8.55473939171253,1.1813531721224099e-17,4.7658650849896095e-15,14.32,-0.54
PLAC4,415.225108785576,3.07295859789377,0.359526109291558,8.54724738614673,1.26058803982465e-17,5.009614499756891e-15,14.3,3.07
GDF15,440.614096247946,2.04589343991348,0.239824183458606,8.53080540256106,1.45332325434114e-17,5.6906154367775294e-15,14.24,2.05
RP11-350D17.3,109.974313397331,2.60730754086726,0.306559676808192,8.50505705125268,1.81506314911515e-17,7.00403933454201e-15,14.15,2.61
SLC13A4,961.966468115842,2.40949153310946,0.28546151053868,8.440687953211759,3.15475323926514e-17,1.1999779964096201e-14,13.92,2.41
NTRK1,55.5284755443415,-2.1850828089026297,0.25926631921973003,-8.42794704487148,3.51782179822087e-17,1.31923272111872e-14,13.88,-2.19
GGT5,66.94701904843009,2.55130693662097,0.303684818290317,8.40116720679126,4.4206241479560286e-17,1.63477136893718e-14,13.79,2.55
TSPAN15,1877.0531875205304,0.890524793816573,0.106101850601869,8.39311273804384,4.73437221250981e-17,1.7268136237025502e-14,13.76,0.89
CACNG8,329.758546456534,-1.27752518977408,0.152402482809704,-8.38257465509438,5.17823293676831e-17,1.86318419154585e-14,13.73,-1.28
KRT80,726.329292850702,1.51798656882711,0.18194787307800606,8.34297506833898,7.244444395481229e-17,2.53803390097478e-14,13.6,1.52
ERVV-1,717.727109230536,2.98596142306506,0.3578666620119721,8.343782028416951,7.195155776233379e-17,2.53803390097478e-14,13.6,2.99
AJAP1,15.484869252535999,-3.1171023561229503,0.3739269180759,-8.33612720946247,7.67633338683079e-17,2.6544162695812504e-14,13.58,-3.12
ANGPTL2,347.09812402821404,-1.2840181338179,0.154411288225346,-8.315571669501379,9.13110435457087e-17,3.11698441724108e-14,13.51,-1.28
EZR,24285.1554283105,0.8075208529365749,0.0973069640268852,8.29869538128292,1.05260880613148e-16,3.5476914015261806e-14,13.45,0.81
CPS1,2415.6132180446807,-0.959239441507126,0.11615304488058803,-8.25840977731815,1.47625988829492e-16,4.9133619732175796e-14,13.31,-0.96
TFEB,174.706601902823,2.30617805307936,0.27934988616051,8.25551814169799,1.5124464897909496e-16,4.971654350268389e-14,13.3,2.31
FLVCR2,190.99200702551997,1.2913508989733202,0.15669308460015602,8.24127562660816,1.70384210889243e-16,5.53249999894753e-14,13.26,1.29
RBM20,1313.7495586864,-1.32609545164884,0.16104857965186406,-8.23413316972703,1.80862412877546e-16,5.80197904250305e-14,13.24,-1.33
NEBL,2517.09329406457,0.5978814971319599,0.0728015649387597,8.21248138875716,2.1666364986431e-16,6.86772183486561e-14,13.16,0.6
NEURL1,492.06289837455597,2.24680073357193,0.274698050812946,8.17916518491014,2.85817072667885e-16,8.858176414900801e-14,13.05,2.25
CRLS1,2990.1990167379604,-0.702765328997525,0.0859227085924559,-8.17904068097812,2.8611251095976404e-16,8.858176414900801e-14,13.05,-0.7
RP11-307E17.8,7.7246207705860686,3.1210043292634904,0.382426035671276,8.16106655443887,3.32079117795881e-16,1.0163147805095599e-13,12.99,3.12
ZFPM2,838.4917096926579,-1.1711050042471205,0.143746230448484,-8.147031060176719,3.72967908800925e-16,1.12848222042425e-13,12.95,-1.17
PLAC8,233.87571056546798,1.99756186003134,0.246663111246461,8.098340485275969,5.571395444296618e-16,1.66678623707687e-13,12.78,2.0
ZBTB7C,102.4411654856,2.06842450409913,0.25598407848196,8.08028575982277,6.461518052958538e-16,1.91160421864527e-13,12.72,2.07
